Spotify ID,Random ID,Track Name,Artist Name(s),Album Name
1,1,Pehli Nazar Mein,"Atif Aslam, Pritam",Race (Original Motion Picture Soundtrack)
2,21,Paadaatha Paattelam,"P. B. Sreenivas, S. Janaki",Veerathirumagan (Original Motion Picture Soundtrack)
3,45,Dil Se Re,"A.R. Rahman, Anuradha, Anupama",Dil Se (Original Motion Picture Soundtrack)
4,26,Kay Sera Sera,"Shankar Mahadevan, Kavita Krishnamurthy",Pukar (Original Motion Picture Soundtrack)
5,33,Song: Dola Re,"Kavita Krishnamurthy, Shreya Ghoshal, KK","Devdas - An Adaptation Of Sarat Chandra Chattopadhyay's ""Devdas"""
6,11,Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj",Yeh Jawaani Hai Deewani
7,68,Tu Hi Re - Bombay / Soundtrack Version,"Hariharan, Kavita Krishnamurthy",Bombay
8,14,Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack)
9,50,Jaane Kyon Log Pyar,"Udit Narayan, Alka Yagnik",Dil Chahta Hai
10,5,Paattu Paadavaa,A. M. Rajah,A. M. Rajah Hits
11,64,Yaro Yarodi,"Mahalakshmi Iyer, Vaishali, Richa Sharma",Alaipayuthey (Original Motion Picture Soundtrack)
12,27,Ek Pal Ka Jeena,Lucky Ali,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack)
13,17,Apni To Jaise Taise,Kishore Kumar,Laawaris (Original Motion Picture Soundtrack)
14,25,Poovukkul,"Unnikrishnan, Sujatha",Jeans (Original Motion Picture Soundtrack)
15,10,Mental Manadhil,"A.R. Rahman, Jonita Gandhi",O Kadhal Kanmani (Original Motion Picture Soundtrack)
16,56,Adiyae Kolluthey,"Harris Jayaraj, Krishh, Benny Dayal, Shruti Haasan",Vaaranam Aayiram (Original Motion Picture Soundtrack)
17,47,Mere Samnewali Khidki Mein,Kishore Kumar,Padosan (Original Motion Picture Soundtrack)
18,28,Mauja Hi Mauja,"Pritam, Mika Singh",Jab We Met
19,48,Chiku Buku Raile,"Suresh Peters, Mst.G.V.Prakash Kumar",Gentleman
20,9,Machi Open the Bottle,"Yuvan Shankar Raja, Mano, Premgi Amaren, Tippu, Haricharan, Naveen Madhav",Mankatha (Original Motion Picture Soundtrack)
21,12,Illamai Etho Ehto,"S. P. Balasubrahmanyam, S. Janaki",Sakalakala Vallavan (Original Motion Picture Soundtrack)
22,20,Hosanna,"A.R. Rahman, Vijay Prakash, Suzanne D'Mello, Blaaze",Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack)
23,59,Chura Liya Hai Tumne Jo Dil Ko,"Asha Bhosle, Mohammed Rafi",Yaadon Ki Baaraat (Original Motion Picture Soundtrack)
24,2,Kaadhal Rojave,"S. P. Balasubrahmanyam, Sujatha",Roja
25,60,Thalli Pogathey,"A.R. Rahman, Sid Sriram, Aaryan Dinesh Kanagaratnam",Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack)
26,41,"Olimayamaana Ethirkaalam (From ""Pachai Vilakku"")",T. M. Soundararajan,Singha Kuralon TMS
27,40,Aaja Aaja Main Hoon Pyar Tera,"Asha Bhosle, Mohammed Rafi",Teesri Manzil (Original Motion Picture Soundtrack)
28,46,Phir Bhi Dil Hai Hindustani,"Jatin-Lalit, Udit Narayan",Phir Bhi Dil Hai Hindustani (Original Motion Picture Soundtrack)
29,37,Naakka Mukka,Vijay Antony,Kadhalil Vizhundhen (Original Motion Picture Soundtrack)
30,24,Apna Time Aayega,"Ranveer Singh, Dub Sharma, DIVINE",Gully Boy
31,70,Vaseegara,Bombay Jayashri,Minnalae (Original Motion Picture Soundtrack)
32,61,Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar, Indeep Bakshi",Baar Baar Dekho (Original Motion Picture Soundtrack)
33,49,"Vaathi Coming (From ""Master"")","Anirudh Ravichander, Gana Balachandar","Vaathi Coming (From ""Master"")"
34,23,Sona Kitna Sona Hai,"Udit Narayan, Poornima",Hero No. 1 (Original Motion Picture Soundtrack)
35,30,"Pal Pal Dil Ke Paas - From ""Blackmail""",Kishore Kumar,Chalte Chalte…Kishore Da’s Greatest Hits
36,16,Oru Raja Raniyadam,"T. M. Soundararajan, P. Susheela",Madhana Maligayil
37,19,Koi Ladki Hai,"Uttam Singh, Lata Mangeshkar, Udit Narayan, Anand Bakshi",Dil To Pagal Hai
38,32,Aaluma Doluma,"Anirudh Ravichander, Badshah",Vedalam (Original Motion Picture Soundtrack)
39,6,"Sodakku (From ""Thaanaa Serndha Koottam"")","Anirudh Ravichander, Anthony Daasan","Sodakku (From ""Thaanaa Serndha Koottam"")"
40,57,Munbe Vaa,"A.R. Rahman, Shreya Ghoshal, Naresh Iyer",Silunu Oru Kadhal
41,13,Moh Moh Ke Dhaage (Female),"Anu Malik, Monali Thakur, Varun Grover",Dum Laga Ke Haisha
42,4,My Name Is Lakhan,"Mohammed Aziz, Anuradha Paudwal, Nitin Mukesh",Ram Lakhan (Original Motion Picture Soundtrack)
43,18,Roja Malarae Rajakumari,"P. B. Sreenivas, P. Susheela",Veerathirumagan (Original Motion Picture Soundtrack)
44,42,Senorita,"Farhan Akhtar, Hrithik Roshan, Abhay Deol, Maria Del Mar Fernandez",Zindagi Na Milegi Dobara
45,55,Maahi Ve,"Shankar-Ehsaan-Loy, Sadhana Sargam, Sujata Bhattacharya, Udit Narayan, Sonu Nigam",Kal Ho Naa Ho (Original Motion Picture Soundtrack)
46,38,"En Iniya Pon Nilave Pon (From ""Moodu Pani"")",K. J. Yesudas,Maestro Ilaiyaraaja
47,44,Kal Ho Naa Ho,"Shankar-Ehsaan-Loy, Sonu Nigam",Kal Ho Naa Ho (Original Motion Picture Soundtrack)
48,67,Kadhal Sadugudu,S. P. B. Charan,Alaipayuthey (Original Motion Picture Soundtrack)
49,35,Pehla Nasha,"Udit Narayan, Sadhana Sargam",Jo Jeeta Wohi Sikandar (Original Motion Picture Soundtrack)
50,8,Paruvame,"S. P. Balasubrahmanyam, S. Janaki",Duets of Yesterdays & Todays
51,62,Bole Chudiyan,"Jatin-Lalit, Amit Kumar, Sonu Nigam, Alka Yagnik, Udit Narayan, Kavita Krishnamurthy",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
52,15,Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",Hum Se Hai Muqabala - Kadalan (Original Motion Picture Soundtrack)
53,66,Piyu Bole,"Sonu Nigam, Shreya Ghoshal",Parineeta
54,54,"Ghungroo (From ""War"")","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")"
55,22,Koi Mil Gaya,"Kavita Krishnamurthy, Udit Narayan, Alka Yagnik",Kuch Kuch Hota Hai
56,36,It's the Time to Disco,"Shankar-Ehsaan-Loy, Vasundhara Das, KK, Shaan, Loy Mendonsa",Kal Ho Naa Ho (Original Motion Picture Soundtrack)
57,58,Enjoy Enjaami,"Dhee, Arivu, Santhosh Narayanan",Enjoy Enjaami
58,65,Chura Ke Dil Mera,"Kumar Sanu, Alka Yagnik",Main Khiladi Tu Anari (Original Motion Picture Soundtrack)
59,69,Yeh Dil Deewana,"Sonu Nigam, Hema Sardesai, Shankar Mahadevan",Pardes (Original Motion Picture Soundtrack)
60,34,Jugnu,"Badshah, Nikhita Gandhi",Jugnu
61,29,Nenjathai,"P. Susheela, K. J. Yesudas, L. R. Eswari",Kathalikka Neramillai (Original Motion Picture Soundtrack)
62,43,Ek Ho Gaye Hum Aur Tum - Bombay / Soundtrack Version,Remo Fernandes,Bombay
63,39,New York,A.R. Rahman,Silunu Oru Kadhal
64,3,Didi Tera Devar Deewana,"Lata Mangeshkar, S. P. Balasubrahmanyam",Hum Aapke Hain Koun (Original Motion Picture Soundtrack)
65,52,Lag Ja Gale Se Phir,Lata Mangeshkar,Woh Kaun Thi? (Original Motion Picture Soundtrack)
66,53,Kaalangalil Aval Vasantham,P. B. Sreenivas,Paava Mannippu (Original Motion Picture Soundtrack)
67,31,Hum Dil De Chuke Sanam,"Kavita Krishnamurthy, Mohammad Salamat, Dominique",Hum Dil De Chuke Sanam
68,51,Mitwa,"Shankar-Ehsaan-Loy, Shankar Mahadevan, Caralisa Monteiro, Shafqat Amanat Ali",Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)
69,63,Barso Re,"A.R. Rahman, Shreya Ghoshal, Uday Mazumdar",Guru (Original Motion Picture Soundtrack)
70,7,"So Baby (From ""Doctor"")","Anirudh Ravichander, Ananthakrrishnan","So Baby (From ""Doctor"")"
